prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,1101.1121970992535,None,space,43.75805099867284,1101.1121970992535,None,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,3,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,1145.050291199237,None,1148.4163661990315,None,1149.2010442987084,None,s,1,1.6289927996695042,1149.2010442987084,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,3,2,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,,,,,,,,,1150.841206099838,None,1151.701726898551,None,s,1,1.128269100561738,1151.701726898551,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,3,2,1,1,1,1,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,1,2,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,,,,,,,1152.8559604994953,None,1156.0980753991753,None,1157.045464798808,None,s,1,1.8965706005692482,1157.045464798808,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,1,2,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,,,,,,,,,1158.9506264999509,None,1159.8342905994505,None,s,1,2.4037469998002052,1159.8342905994505,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,1,2,1,1,1,0,1,1,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,3,2,1,0,0,0,0,1,1,0,0,2,2,2,0,0,0,0,,,,,,,1162.248495798558,None,1165.1156523991376,None,1166.1297755986452,None,s,0,4.1561782993376255,1166.1297755986452,None,1170.2991882991046,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,3,2,1,0,0,0,0,1,1,0,0,2,2,2,1,0,1,0,,,,,,,,,1170.810079799965,None,1171.6907279994339,None,l,1,3.555323600769043,1171.6907279994339,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,3,2,1,0,0,0,0,1,1,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,1,2,0,1,1,0,0,1,0,0,3,3,3,0,0,0,0,,,,,,,1175.277401998639,None,1178.7421546000987,None,1179.5895739998668,None,l,1,0.8804187998175621,1179.5895739998668,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,1,2,0,1,1,0,0,1,0,0,3,3,3,1,0,1,0,,,,,,,,,1180.4907131996006,None,1181.242455098778,None,s,1,0.7795342989265919,1181.242455098778,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,1,2,0,1,1,0,0,1,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,3,2,1,1,0,0,0,0,1,0,0,4,4,4,0,0,0,0,,,,,,,1182.0441871993244,None,1183.3678187001497,None,1184.3487858995795,None,s,1,1.225194800645113,1184.3487858995795,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,3,2,1,1,0,0,0,0,1,0,0,4,4,4,1,0,1,0,,,,,,,,,1185.5929307993501,None,1186.4526011999696,None,l,1,0.5453821010887623,1186.4526011999696,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,3,2,1,1,0,0,0,0,1,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,2,2,1,1,1,1,1,1,0,0,5,5,5,0,0,0,0,,,,,,,1187.0214964989573,None,1189.796955998987,None,1190.6945415996015,None,s,1,0.727411400526762,1190.6945415996015,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,2,2,1,1,1,1,1,1,0,0,5,5,5,1,0,1,0,,,,,,,,,1191.4311561994255,None,1192.430982498452,None,s,1,0.6149579994380474,1192.430982498452,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,2,2,1,1,1,1,1,1,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,1,1,1,0,1,1,1,0,0,6,6,6,0,0,0,0,,,,,,,1193.062608199194,None,1195.741898600012,None,1196.5890210997313,None,s,1,0.4809623006731272,1196.5890210997313,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,1,1,1,0,1,1,1,0,0,6,6,6,1,0,1,0,,,,,,,,,1197.0887650996447,None,1197.9754002988338,None,s,1,0.6545713003724813,1197.9754002988338,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,1,1,1,0,1,1,1,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,2,0,1,0,0,0,1,0,0,7,7,7,0,0,0,0,,,,,,,1198.6547237988561,None,1202.3213445991278,None,1203.2018975000829,None,l,1,0.6841214001178741,1203.2018975000829,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,2,0,1,0,0,0,1,0,0,7,7,7,1,0,1,0,,,,,,,,,1203.894243599847,None,1204.671600099653,None,l,0,0.7343597002327442,1204.671600099653,None,1205.436309998855,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,2,0,1,0,0,0,1,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,2,1,1,0,1,0,0,1,0,0,8,8,8,0,0,0,0,,,,,,,1205.9451116994023,None,1206.6464376989752,None,1207.510264499113,None,s,1,1.327709598466754,1207.510264499113,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,2,1,1,0,1,0,0,1,0,0,8,8,8,1,0,1,0,,,,,,,,,1208.864248899743,None,1209.832406198606,None,l,1,0.733628099784255,1209.832406198606,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,2,2,2,1,1,0,1,0,0,1,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,2,1,1,1,0,0,1,1,0,0,9,9,9,0,0,0,0,,,,,,,1210.5930102989078,None,1214.2111456990242,None,1214.9416565988213,None,s,1,0.6003505010157824,1214.9416565988213,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,2,1,1,1,0,0,1,1,0,0,9,9,9,1,0,1,0,,,,,,,,,1215.5702861994505,None,1216.3782450985163,None,s,1,0.7556955013424158,1216.3782450985163,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,2,1,1,1,0,0,1,1,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,2,1,0,0,0,0,1,0,0,10,10,10,0,0,0,0,,,,,,,1217.1598594002426,None,1222.4938949998468,None,1223.5081047993153,None,s,1,0.5618603993207216,1223.5081047993153,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,2,1,0,0,0,0,1,0,0,10,10,10,1,0,1,0,,,,,,,,,1224.0913028996438,None,1224.8606928996742,None,l,1,0.8732727002352476,1224.8606928996742,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,2,1,0,0,0,0,1,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,1,1,0,0,1,0,1,0,0,11,11,11,0,0,0,0,,,,,,,1225.7524344995618,None,1246.1733043994755,None,1247.1891006994992,None,s,1,4.040864000096917,1247.1891006994992,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,1,1,0,0,1,0,1,0,0,11,11,11,1,0,1,0,,,,,,,,,1251.2511697988957,None,1252.0134755987674,None,l,1,2.0085052009671926,1252.0134755987674,None,None,None,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
7,7,0,1,3,2,1,1,1,0,0,1,0,1,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,female,22,2022_May_11_1033,Partial repeat,2021.2.3,59.8937967102657,
