prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,616.4853486996144,None,space,21.776009099557996,616.4853486996144,None,,,,,,,,,,,,,,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
6,7,0,1,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,638.453551499173,None,640.4098157994449,None,641.3951008003205,None,s,0,1.3300398997962475,641.3951008003205,None,642.7487796004862,None,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
6,7,0,1,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,643.2481737993658,None,644.0951217003167,None,s,1,7.302064599469304,644.0951217003167,None,None,None,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
6,7,0,1,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
5,8,0,1,2,2,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,651.4091947991401,None,656.5240985993296,None,657.320943299681,None,s,1,2.4201643001288176,657.320943299681,None,None,None,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
5,8,0,1,2,2,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,659.7569331992418,None,660.6609460003674,None,l,1,6.712151300162077,660.6609460003674,None,None,None,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
5,8,0,1,2,2,1,1,1,0,1,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
3,4,0,1,3,2,2,1,0,0,0,0,1,0,0,0,2,2,2,0,0,0,0,,,,,,,667.387941699475,None,669.2487531993538,None,670.0122305992991,None,l,1,0.9608657006174326,670.0122305992991,None,None,None,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
3,4,0,1,3,2,2,1,0,0,0,0,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,670.9881299994886,None,671.9159428998828,None,l,1,0.889181999489665,671.9159428998828,None,None,None,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
3,4,0,1,3,2,2,1,0,0,0,0,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,23,female,21,2022_May_11_1023,Partial repeat,2021.2.3,59.86521957525461,
