prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,610.0193033013493,None,space,39.778987200930715,610.0193033013493,None,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
6,3,0,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,649.91340040043,None,653.590701000765,None,654.3377884998918,None,s,1,0.9245357997715473,654.3377884998918,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
6,3,0,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,655.2803215011954,None,656.0580171011388,None,l,1,0.7242539003491402,656.0580171011388,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
6,3,0,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
1,2,0,1,2,2,1,2,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,656.8011760003865,None,659.3351940009743,None,660.1837416999042,None,s,1,0.6865392997860909,660.1837416999042,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
1,2,0,1,2,2,1,2,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,660.8904741015285,None,661.7692290004343,None,s,1,0.6051013991236687,661.7692290004343,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
1,2,0,1,2,2,1,2,1,1,1,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
5,6,0,1,2,3,2,2,1,1,0,1,1,0,0,0,2,2,2,0,0,0,0,,,,,,,662.4028297010809,None,663.7939017005265,None,664.524979300797,None,s,1,0.6092371996492147,664.524979300797,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
5,6,0,1,2,3,2,2,1,1,0,1,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,665.147327400744,None,665.9610816016793,None,s,1,0.5812306012958288,665.9610816016793,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
5,6,0,1,2,3,2,2,1,1,0,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
7,1,0,1,3,3,1,2,0,0,1,0,1,0,0,0,3,3,3,0,0,0,0,,,,,,,666.5526983998716,None,668.1857797000557,None,669.0161041002721,None,l,1,0.5982130002230406,669.0161041002721,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
7,1,0,1,3,3,1,2,0,0,1,0,1,0,0,0,3,3,3,1,0,1,0,,,,,,,,,669.6415738016367,None,670.6539852004498,None,l,1,0.496280400082469,670.6539852004498,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
7,1,0,1,3,3,1,2,0,0,1,0,1,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
7,6,0,1,2,2,2,2,0,1,1,1,0,0,0,0,4,4,4,0,0,0,0,,,,,,,671.1753535009921,None,672.2436850015074,None,673.0411844998598,None,l,1,0.7090924996882677,673.0411844998598,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
7,6,0,1,2,2,2,2,0,1,1,1,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,673.7753261011094,None,674.5782294999808,None,s,1,0.564045500010252,674.5782294999808,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
7,6,0,1,2,2,2,2,0,1,1,1,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
1,3,0,1,2,2,1,2,1,0,1,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,675.1671817004681,None,676.4518645014614,None,677.3834688998759,None,s,1,0.6068045012652874,677.3834688998759,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
1,3,0,1,2,2,1,2,1,0,1,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,678.0103076007217,None,678.9520656000823,None,l,1,0.4782413002103567,678.9520656000823,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
1,3,0,1,2,2,1,2,1,0,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
5,7,0,1,2,3,2,2,0,1,0,1,0,0,0,0,6,6,6,0,0,0,0,,,,,,,679.4555243998766,None,680.4095671009272,None,681.3411853015423,None,l,1,0.5771244987845421,681.3411853015423,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
5,7,0,1,2,3,2,2,0,1,0,1,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,681.9455348011106,None,682.7097173016518,None,s,1,0.6485721990466118,682.7097173016518,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
5,7,0,1,2,3,2,2,0,1,0,1,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
5,4,0,1,2,3,1,2,1,1,0,0,1,0,0,0,7,7,7,0,0,0,0,,,,,,,683.3818941004574,None,684.3505754005164,None,685.1310786008835,None,s,1,0.5312510002404451,685.1310786008835,None,None,None,,,,,,,13,21,female,13,2022_May_06_1258,Partial repeat,2021.2.3,59.90050532590536,
