prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,23.242177300155163,None,space,48.96142260171473,23.242177300155163,None,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
8,6,0,1,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,72.33317750133574,None,76.49208790063858,None,77.259641001001,None,l,0,1.367961699143052,77.259641001001,None,78.64059040136635,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
8,6,0,1,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,79.14738440141082,None,80.11118230037391,None,s,0,0.8202387988567352,80.11118230037391,None,80.94548820145428,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
8,6,0,1,2,2,1,2,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
6,8,0,1,3,3,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,81.45187460072339,None,82.5371073000133,None,83.51764470152557,None,s,0,1.1737833004444838,83.51764470152557,None,84.70760009996593,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
6,8,0,1,3,3,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,85.20914239995182,None,86.02266500145197,None,l,1,0.6687809005379677,86.02266500145197,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
6,8,0,1,3,3,1,1,0,0,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
6,6,0,1,2,3,2,1,0,1,0,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,86.7111956011504,None,88.19831090047956,None,89.17882640101016,None,l,1,0.6566134989261627,89.17882640101016,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
6,6,0,1,2,3,2,1,0,1,0,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,89.86057780124247,None,90.61494790017605,None,s,1,0.9404613003134727,90.61494790017605,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
6,6,0,1,2,3,2,1,0,1,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
5,3,0,1,2,2,2,1,0,0,1,0,1,0,0,0,3,3,3,0,0,0,0,,,,,,,91.58620870113373,None,93.80914730019867,None,94.72288160026073,None,l,1,0.9365483000874519,94.72288160026073,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
5,3,0,1,2,2,2,1,0,0,1,0,1,0,0,0,3,3,3,1,0,1,0,,,,,,,,,95.67990580014884,None,96.694534400478,None,l,1,0.6928735990077257,96.694534400478,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
5,3,0,1,2,2,2,1,0,0,1,0,1,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
7,5,0,1,2,2,1,2,0,0,1,0,1,0,0,0,4,4,4,0,0,0,0,,,,,,,97.40352230146527,None,98.80222840048373,None,99.59905820153654,None,l,1,0.5963655989617109,99.59905820153654,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
7,5,0,1,2,2,1,2,0,0,1,0,1,0,0,0,4,4,4,1,0,1,0,,,,,,,,,100.21891280077398,None,100.95210300013423,None,l,1,0.5553425997495651,100.95210300013423,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
7,5,0,1,2,2,1,2,0,0,1,0,1,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
5,5,0,1,3,3,2,1,0,0,1,0,1,0,0,0,5,5,5,0,0,0,0,,,,,,,101.51788790151477,None,102.69310410134494,None,103.67415210045874,None,l,1,0.48932410031557083,103.67415210045874,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
5,5,0,1,3,3,2,1,0,0,1,0,1,0,0,0,5,5,5,1,0,1,0,,,,,,,,,104.19203229993582,None,105.10959890112281,None,l,1,0.493827398866415,105.10959890112281,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
5,5,0,1,3,3,2,1,0,0,1,0,1,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
7,3,0,1,3,2,1,2,1,0,0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,105.62923310138285,None,108.13692020066082,None,108.88419290073216,None,s,1,0.687236400321126,108.88419290073216,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
7,3,0,1,3,2,1,2,1,0,0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,109.58998010121286,None,110.45465200021863,None,l,1,0.5887706000357866,110.45465200021863,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
7,3,0,1,3,2,1,2,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
2,5,0,1,2,3,1,2,0,1,0,0,0,0,0,0,7,7,7,0,0,0,0,,,,,,,111.06800400093198,None,112.57904569990933,None,113.54322759993374,None,l,1,0.4841843992471695,113.54322759993374,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
2,5,0,1,2,3,1,2,0,1,0,0,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,114.03919250145555,None,114.82878430001438,None,s,1,0.5667230002582073,114.82878430001438,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
2,5,0,1,2,3,1,2,0,1,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
3,2,0,1,3,2,1,1,0,1,0,1,0,0,0,0,8,8,8,0,0,0,0,,,,,,,115.40965780057013,None,116.36978530138731,None,117.18479910120368,None,s,0,0.6185918990522623,117.18479910120368,None,117.8287730012089,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
3,2,0,1,3,2,1,1,0,1,0,1,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,118.34019100107253,None,119.07042980007827,None,s,1,0.7409899011254311,119.07042980007827,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
3,2,0,1,3,2,1,1,0,1,0,1,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
8,3,0,1,3,3,1,2,1,1,1,0,1,0,0,0,9,9,9,0,0,0,0,,,,,,,119.83806690014899,None,120.87850560061634,None,121.72571090050042,None,s,1,0.8456628993153572,121.72571090050042,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
8,3,0,1,3,3,1,2,1,1,1,0,1,0,0,0,9,9,9,1,0,1,0,,,,,,,,,122.58074760064483,None,123.4286552015692,None,s,1,0.6548651996999979,123.4286552015692,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
8,3,0,1,3,3,1,2,1,1,1,0,1,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
1,6,0,1,2,2,2,2,0,1,1,1,0,0,0,0,10,10,10,0,0,0,0,,,,,,,124.09671610035002,None,125.5710282009095,None,126.35207490064204,None,l,1,0.7634091004729271,126.35207490064204,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
1,6,0,1,2,2,2,2,0,1,1,1,0,0,0,0,10,10,10,1,0,1,0,,,,,,,,,127.14011900126934,None,128.10465870052576,None,s,1,0.5947450995445251,128.10465870052576,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
1,6,0,1,2,2,2,2,0,1,1,1,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
1,7,0,1,3,2,1,1,1,0,0,1,0,0,0,0,11,11,11,0,0,0,0,,,,,,,128.7305514998734,None,129.77917280048132,None,130.57609630003572,None,s,1,0.7153996005654335,130.57609630003572,None,None,None,,,,,,,7,22,male,7,2022_May_05_1535,Partial repeat,2021.2.3,59.89645084092524,
