prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,435.5085282996297,None,space,44.16520039923489,435.5085282996297,None,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
4,5,0,1,3,2,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,479.8140550982207,None,482.8059737998992,None,483.77265069819987,None,s,1,12.005056099966168,483.77265069819987,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
4,5,0,1,3,2,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,495.80471499823034,None,496.5285510998219,None,s,1,2.249226400628686,496.5285510998219,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
4,5,0,1,3,2,1,1,1,1,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,1,0,1,3,2,1,2,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,498.80303729884326,None,500.1397946998477,None,500.9705765992403,None,s,0,0.7191556990146637,500.9705765992403,None,501.7171667981893,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,1,0,1,3,2,1,2,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,502.22697739861906,None,503.1742411982268,None,s,0,1.4274992998689413,503.1742411982268,None,504.623554199934,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,1,0,1,3,2,1,2,0,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,5,0,1,2,2,1,2,0,0,1,0,1,0,0,0,2,2,2,0,0,0,0,,,,,,,505.132918599993,None,506.0176420994103,None,507.03210639953613,None,s,0,2.8895602002739906,507.03210639953613,None,509.94508129917085,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,5,0,1,2,2,1,2,0,0,1,0,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,510.4598848000169,None,511.45790949836373,None,s,0,20.087872801348567,511.45790949836373,None,531.5546016991138,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,5,0,1,2,2,1,2,0,0,1,0,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
6,2,0,1,3,3,1,2,1,1,1,0,1,0,0,0,3,3,3,0,0,0,0,,,,,,,532.068354498595,None,535.8423259984702,None,536.5899315997958,None,s,1,1.323735799640417,536.5899315997958,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
6,2,0,1,3,3,1,2,1,1,1,0,1,0,0,0,3,3,3,1,0,1,0,,,,,,,,,537.9274177998304,None,538.8110542986542,None,s,1,0.8466710988432169,538.8110542986542,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
6,2,0,1,3,3,1,2,1,1,1,0,1,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,6,0,1,2,3,2,2,1,0,0,1,0,0,0,0,4,4,4,0,0,0,0,,,,,,,539.6692604999989,None,540.5182924997061,None,541.5160481985658,None,s,1,0.725654998794198,541.5160481985658,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,6,0,1,2,3,2,2,1,0,0,1,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,542.2614807989448,None,543.1024221982807,None,l,1,9.971219200640917,543.1024221982807,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,6,0,1,2,3,2,2,1,0,0,1,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
4,3,0,1,3,2,2,1,1,0,0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,553.0936574991792,None,561.7761123999953,None,562.506443399936,None,s,1,0.9752358999103308,562.506443399936,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
4,3,0,1,3,2,2,1,1,0,0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,563.5094887986779,None,564.4109093993902,None,l,1,0.6147061996161938,564.4109093993902,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
4,3,0,1,3,2,2,1,1,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
2,5,0,1,3,3,1,1,1,1,1,1,1,0,0,0,6,6,6,0,0,0,0,,,,,,,565.0367774982005,None,566.4855541996658,None,567.2991864997894,None,s,1,0.7744861003011465,567.2991864997894,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
2,5,0,1,3,3,1,1,1,1,1,1,1,0,0,0,6,6,6,1,0,1,0,,,,,,,,,568.0875684991479,None,568.8528899997473,None,s,1,0.6207465007901192,568.8528899997473,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
2,5,0,1,3,3,1,1,1,1,1,1,1,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,4,0,1,3,2,2,1,0,0,0,0,1,0,0,0,7,7,7,0,0,0,0,,,,,,,569.501287298277,None,570.2929102983326,None,571.0564915984869,None,l,1,0.48125880025327206,571.0564915984869,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,4,0,1,3,2,2,1,0,0,0,0,1,0,0,0,7,7,7,1,0,1,0,,,,,,,,,571.5515278000385,None,572.3255098983645,None,l,1,0.8522551991045475,572.3255098983645,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
5,4,0,1,3,2,2,1,0,0,0,0,1,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
1,8,0,1,3,3,2,1,1,1,1,0,1,0,0,0,8,8,8,0,0,0,0,,,,,,,573.2058140989393,None,574.918366799131,None,575.6488232985139,None,s,1,0.776877598837018,575.6488232985139,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
1,8,0,1,3,3,2,1,1,1,1,0,1,0,0,0,8,8,8,1,0,1,0,,,,,,,,,576.4378733988851,None,577.3694954998791,None,s,1,0.7041327990591526,577.3694954998791,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
1,8,0,1,3,3,2,1,1,1,1,0,1,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
1,1,0,1,3,2,1,1,1,0,0,1,0,0,0,0,9,9,9,0,0,0,0,,,,,,,578.1005990989506,None,580.5460592992604,None,581.2930806986988,None,s,1,0.5645886994898319,581.2930806986988,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
1,1,0,1,3,2,1,1,1,0,0,1,0,0,0,0,9,9,9,1,0,1,0,,,,,,,,,581.8728906996548,None,582.7297106999904,None,l,1,0.5679370015859604,582.7297106999904,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
1,1,0,1,3,2,1,1,1,0,0,1,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
4,1,0,1,3,3,2,1,0,0,1,0,1,0,0,0,10,10,10,0,0,0,0,,,,,,,583.3144904989749,None,584.0196091998369,None,584.9502696990967,None,l,1,0.6833611000329256,584.9502696990967,None,None,None,,,,,,,1,28,female,1,2022_May_05_0904,Partial repeat,2021.2.3,59.85916356976178,
