prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,517.0010147001594,None,space,55.160733200609684,517.0010147001594,None,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
2,6,0,1,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,572.2776609994471,None,575.640412999317,None,576.4379124008119,None,l,1,1.163587100803852,576.4379124008119,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
2,6,0,1,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,577.6180518008769,None,578.4426217004657,None,l,0,0.6469445005059242,578.4426217004657,None,579.112445499748,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
2,6,0,1,2,2,1,1,0,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
1,3,0,1,2,3,2,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,579.6148137003183,None,580.9339359998703,None,581.8824122007936,None,l,1,0.9270323012024164,581.8824122007936,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
1,3,0,1,2,3,2,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,582.837013700977,None,583.736302299425,None,l,1,0.8572533000260592,583.736302299425,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
1,3,0,1,2,3,2,1,0,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,7,0,1,3,3,2,1,1,1,1,0,1,0,0,0,2,2,2,0,0,0,0,,,,,,,584.6067392006516,None,585.2591526005417,None,586.023745700717,None,s,1,0.6338158994913101,586.023745700717,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,7,0,1,3,3,2,1,1,1,1,0,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,586.6693047992885,None,587.442752899602,None,s,1,0.43873729929327965,587.442752899602,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,7,0,1,3,3,2,1,1,1,1,0,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,2,0,1,3,2,2,1,0,1,0,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,587.9059423003346,None,588.532196700573,None,589.2971411999315,None,l,1,0.5603795014321804,589.2971411999315,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,2,0,1,3,2,2,1,0,1,0,0,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,589.8805470000952,None,590.6483411993831,None,s,1,0.6731836013495922,590.6483411993831,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,2,0,1,3,2,2,1,0,1,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
2,5,0,1,2,3,1,2,1,0,0,0,0,0,0,0,4,4,4,0,0,0,0,,,,,,,591.3317980002612,None,591.9053250998259,None,592.7193291001022,None,s,1,0.7061446011066437,592.7193291001022,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
2,5,0,1,2,3,1,2,1,0,0,0,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,593.4531276002526,None,594.4558720998466,None,l,1,0.5216540992259979,594.4558720998466,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
2,5,0,1,2,3,1,2,1,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,8,0,1,2,3,2,1,0,1,0,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,595.0029106996953,None,595.3955128993839,None,596.1937052998692,None,l,1,0.5678202006965876,596.1937052998692,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,8,0,1,2,3,2,1,0,1,0,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,596.7748790998012,None,597.5789906997234,None,s,1,0.5745403990149498,597.5789906997234,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,8,0,1,2,3,2,1,0,1,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,1,0,1,3,3,1,1,0,1,1,1,0,0,0,0,6,6,6,0,0,0,0,,,,,,,598.1655113995075,None,598.6017503999174,None,599.4492320995778,None,l,1,0.5523273013532162,599.4492320995778,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,1,0,1,3,3,1,1,0,1,1,1,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,600.0133561007679,None,600.8848266005516,None,s,1,0.5406047999858856,600.8848266005516,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
7,1,0,1,3,3,1,1,0,1,1,1,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
8,4,0,1,2,3,2,2,1,1,0,1,1,0,0,0,7,7,7,0,0,0,0,,,,,,,601.4444341994822,None,601.8580821994692,None,602.6052355002612,None,s,1,0.5482490006834269,602.6052355002612,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
8,4,0,1,2,3,2,2,1,1,0,1,1,0,0,0,7,7,7,1,0,1,0,,,,,,,,,603.1718339007348,None,604.1083399001509,None,s,1,0.6451822016388178,604.1083399001509,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
8,4,0,1,2,3,2,2,1,1,0,1,1,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
8,1,0,1,2,2,1,1,1,0,1,1,0,0,0,0,8,8,8,0,0,0,0,,,,,,,604.7819932997227,None,605.1645576003939,None,606.1625200994313,None,s,1,0.5350267998874187,606.1625200994313,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
8,1,0,1,2,2,1,1,1,0,1,1,0,0,0,0,8,8,8,1,0,1,0,,,,,,,,,606.7070617992431,None,607.6316883005202,None,l,1,0.6898531001061201,607.6316883005202,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
8,1,0,1,2,2,1,1,1,0,1,1,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
6,5,0,1,3,2,2,1,1,1,0,0,1,0,0,0,9,9,9,0,0,0,0,,,,,,,608.3459092006087,None,608.9051664005965,None,609.7035140004009,None,s,1,0.4740132000297308,609.7035140004009,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
6,5,0,1,3,2,2,1,1,1,0,0,1,0,0,0,9,9,9,1,0,1,0,,,,,,,,,610.2007385008037,None,610.9715653993189,None,s,1,0.5660005006939173,610.9715653993189,None,None,None,,,,,,,5,24,female,5,2022_May_05_1137,Partial repeat,2021.2.3,59.89042459301672,
