prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,225.09267660044134,None,space,83.8893125988543,225.09267660044134,None,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,1,0,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,309.13079180009663,None,315.4276398010552,None,316.41235909983516,None,l,1,2.961479200050235,316.41235909983516,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,1,0,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,319.4040256012231,None,320.2143945004791,None,s,1,1.5434742998331785,320.2143945004791,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,1,0,1,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
5,8,0,1,3,3,2,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0,,,,,,,321.78843280114233,None,324.49359299987555,None,325.20873939991,None,l,1,1.557023499161005,325.20873939991,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
5,8,0,1,3,3,2,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,326.78754490055144,None,327.74708059988916,None,l,1,1.226690599694848,327.74708059988916,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
5,8,0,1,3,3,2,1,1,1,1,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,7,0,1,3,2,1,1,1,1,0,1,1,0,0,0,2,2,2,0,0,0,0,,,,,,,328.9958455003798,None,331.3234841004014,None,332.2055558003485,None,l,1,1.2242707014083862,332.2055558003485,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,7,0,1,3,2,1,1,1,1,0,1,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,333.44133410044014,None,334.27538560144603,None,l,1,0.9784500002861023,334.27538560144603,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,7,0,1,3,2,1,1,1,1,0,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,6,0,1,3,2,1,1,0,1,0,1,0,0,0,0,3,3,3,0,0,0,0,,,,,,,335.2832802012563,None,338.92190320044756,None,339.9366307016462,None,s,1,0.9971603993326426,339.9366307016462,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,6,0,1,3,2,1,1,0,1,0,1,0,0,0,0,3,3,3,1,0,1,0,,,,,,,,,340.94231890141964,None,341.9584698006511,None,l,1,1.303320599719882,341.9584698006511,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,6,0,1,3,2,1,1,0,1,0,1,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
1,3,0,1,2,3,2,2,1,1,0,1,1,0,0,0,4,4,4,0,0,0,0,,,,,,,343.2770488001406,None,345.2840567007661,None,346.24851710163057,None,l,1,1.2213151007890701,346.24851710163057,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
1,3,0,1,2,3,2,2,1,1,0,1,1,0,0,0,4,4,4,1,0,1,0,,,,,,,,,347.4877129010856,None,348.26895880140364,None,l,1,1.5608462989330292,348.26895880140364,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
1,3,0,1,2,3,2,2,1,1,0,1,1,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
5,1,0,1,2,2,2,1,1,0,1,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,349.85363529995084,None,351.4460533000529,None,352.3773212004453,None,l,1,0.9485040996223688,352.3773212004453,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
5,1,0,1,2,2,2,1,1,0,1,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,353.34133310057223,None,354.2315509002656,None,s,1,1.1422685999423265,354.2315509002656,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
5,1,0,1,2,2,2,1,1,0,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
6,7,0,1,2,3,1,2,0,1,0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,355.39652210101485,None,357.3241552002728,None,358.1387482006103,None,s,1,0.963078098371625,358.1387482006103,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
6,7,0,1,2,3,1,2,0,1,0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,359.11986410059035,None,359.99208020046353,None,l,1,1.061745399609208,359.99208020046353,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
6,7,0,1,2,3,1,2,0,1,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,5,0,1,2,2,1,1,1,0,1,1,0,0,0,0,7,7,7,0,0,0,0,,,,,,,361.0707445014268,None,363.3191641010344,None,364.16772400029004,None,l,1,0.7901840005069971,364.16772400029004,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,5,0,1,2,2,1,1,1,0,1,1,0,0,0,0,7,7,7,1,0,1,0,,,,,,,,,364.9686684012413,None,365.7699595000595,None,s,1,0.8278730995953083,365.7699595000595,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
8,5,0,1,2,2,1,1,1,0,1,1,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
7,7,0,1,3,3,1,2,1,1,1,0,1,0,0,0,8,8,8,0,0,0,0,,,,,,,366.6135048009455,None,368.02829500101507,None,368.81000290066004,None,l,1,0.6518212016671896,368.81000290066004,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
7,7,0,1,3,3,1,2,1,1,1,0,1,0,0,0,8,8,8,1,0,1,0,,,,,,,,,369.4821677003056,None,370.2467861007899,None,l,1,0.6150598004460335,370.2467861007899,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
7,7,0,1,3,3,1,2,1,1,1,0,1,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
3,1,0,1,2,3,1,2,0,0,0,0,1,0,0,0,9,9,9,0,0,0,0,,,,,,,370.8788218013942,None,374.2069915011525,None,375.15628929995,None,s,1,1.0015484001487494,375.15628929995,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
3,1,0,1,2,3,1,2,0,0,0,0,1,0,0,0,9,9,9,1,0,1,0,,,,,,,,,376.1665844004601,None,377.041665000841,None,s,1,0.9961478002369404,377.041665000841,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
3,1,0,1,2,3,1,2,0,0,0,0,1,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
1,2,0,1,2,3,2,1,0,0,0,0,1,0,0,0,10,10,10,0,0,0,0,,,,,,,378.0639100000262,None,379.31693590059876,None,380.3323290999979,None,s,1,0.7775717992335558,380.3323290999979,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
1,2,0,1,2,3,2,1,0,0,0,0,1,0,0,0,10,10,10,1,0,1,0,,,,,,,,,381.1202667001635,None,382.0347275007516,None,s,1,0.5790985003113747,382.0347275007516,None,None,None,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
1,2,0,1,2,3,2,1,0,0,0,0,1,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,female,3,2022_May_05_1022,Partial repeat,2021.2.3,59.79151887584874,
