prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,507.14875569939613,None,space,65.11287990026176,507.14875569939613,None,,,,,,,,,,,,,,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
1,8,0,1,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,572.3735492993146,None,575.3666177988052,None,576.1011250987649,None,s,1,1.0644978992640972,576.1011250987649,None,None,None,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
1,8,0,1,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,577.1896951999515,None,578.050745498389,None,s,0,1.58691499941051,578.050745498389,None,579.6520557999611,None,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
1,8,0,1,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
3,3,0,1,2,3,2,2,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,580.1593752000481,None,590.4791594985873,None,591.4099815990776,None,l,1,1.1955712996423244,591.4099815990776,None,None,None,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
3,3,0,1,2,3,2,2,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,592.6279362998903,None,593.5646389983594,None,s,1,0.8409151993691921,593.5646389983594,None,None,None,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
3,3,0,1,2,3,2,2,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
8,6,0,1,3,2,1,1,0,1,0,1,0,0,0,0,2,2,2,0,0,0,0,,,,,,,594.4356603994966,None,599.3633487988263,None,600.126842899248,None,l,1,1.1107823997735977,600.126842899248,None,None,None,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
8,6,0,1,3,2,1,1,0,1,0,1,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,601.254457898438,None,602.1480192989111,None,l,0,0.8255566004663706,602.1480192989111,None,602.9971595983952,None,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
8,6,0,1,3,2,1,1,0,1,0,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
7,5,0,1,3,3,1,1,0,0,1,1,1,0,0,0,3,3,3,0,0,0,0,,,,,,,603.5047477986664,None,604.5067147985101,None,605.4539310988039,None,l,1,1.1115561984479427,605.4539310988039,None,None,None,,,,,,,15,21,female,15,2022_May_09_1413,Partial repeat,2021.2.3,59.89896219118593,
