prime_tar_pos,probe_tar_pos,dimension,tar_color,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_dot_pos,probe_tar_dot_pos,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,FixCross.started,FixCross.stopped,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,801.4775255993009,None,space,58.3530183006078,801.4775255993009,None,,,,,,,,,,,,,,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
8,7,0,1,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,859.9578044004738,None,863.9453462995589,None,864.712982499972,None,s,1,1.6133625004440546,864.712982499972,None,None,None,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
8,7,0,1,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,866.356516899541,None,867.0801049992442,None,s,0,0.8461610991507769,867.0801049992442,None,867.9371298998594,None,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
8,7,0,1,3,3,2,1,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
2,3,0,1,3,3,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,868.4375561997294,None,875.4010693002492,None,876.3315172996372,None,l,1,1.978796599432826,876.3315172996372,None,None,None,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
2,3,0,1,3,3,1,1,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,878.3288626987487,None,879.2208933997899,None,l,1,0.8734016995877028,879.2208933997899,None,None,None,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
2,3,0,1,3,3,1,1,0,0,1,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
3,7,0,1,2,3,1,1,0,0,0,1,1,0,0,0,2,2,2,0,0,0,0,,,,,,,880.1090891994536,None,882.4647893998772,None,883.3284692000598,None,l,1,0.9098348002880812,883.3284692000598,None,None,None,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
3,7,0,1,2,3,1,1,0,0,0,1,1,0,0,0,2,2,2,1,0,1,0,,,,,,,,,884.2645792998374,None,885.1496415995061,None,l,1,0.7366497982293367,885.1496415995061,None,None,None,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
3,7,0,1,2,3,1,1,0,0,0,1,1,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,23,female,9,2022_May_06_1027,Partial repeat,2021.2.3,59.965051961991016,
