prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,21.87033834651629,None,space,8.4849466335736,21.87033834651629,None,,,,,,,,,,,,,,,,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
7,1,0,1,1,3,2,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,74.64286286988772,None,0.7617294318685716,113.40035810889185,None,"[87. 93. 93. 87. 87. 87. 93. 87. 93. 87. 87. 87. 93. 87. 93. 87. 87. 93.
 87. 93. 87. 87. 87. 93. 93. 87. 93. 93. 87. 87. 87. 87. 87. 93.]",114.24961081395213,None,s,1,1.045054791054099,114.24961081395213,None,None,None,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
7,1,0,1,1,3,2,3,3,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.9128541792820003,115.35698960182071,None,"[93. 93. 87. 93. 87. 87. 93. 93. 87. 93. 87. 93. 93. 87. 87. 87. 93. 87.
 93. 87. 93. 87. 93. 93. 93. 87. 93. 93. 93. 93. 87. 93. 93. 93.]",116.35614869055917,None,s,1,0.8586710750978455,116.35614869055917,None,None,None,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
7,1,0,1,1,3,2,3,3,0,0,0,1,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
7,3,0,1,1,2,3,2,2,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,117.2303920468139,None,0.7273144297886072,118.8540172274561,None,"[93. 87. 93. 87. 93. 87. 93. 87. 87. 87. 93. 93. 93. 93. 93. 87. 87. 87.
 93. 93. 93. 87. 93. 87. 87. 93. 87. 93. 87. 87. 87. 87. 87. 87.]",119.66998722918197,None,s,1,0.9847936531486994,119.66998722918197,None,None,None,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
7,3,0,1,1,2,3,2,2,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.9035187584544268,120.71074384406074,None,"[87. 87. 87. 87. 87. 87. 87. 93. 87. 93. 87. 93. 87. 87. 93. 93. 87. 93.
 87. 93. 93. 93. 87. 93. 93. 87. 93. 93. 93. 93. 87. 87. 87. 87.]",121.69325179936368,None,l,1,0.8501792183387806,121.69325179936368,None,None,None,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
7,3,0,1,1,2,3,2,2,0,1,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
5,8,0,1,1,2,2,2,3,0,1,1,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,122.56751471915504,None,0.932456929351783,123.749817994988,None,"[93. 87. 87. 93. 87. 93. 87. 87. 87. 87. 93. 93. 87. 93. 93. 87. 87. 93.
 87. 87. 93. 93. 87. 93. 93. 93. 87. 87. 87. 93. 93. 93. 87. 93.]",124.75730569722236,None,s,1,0.841686078726525,124.75730569722236,None,None,None,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
5,8,0,1,1,2,2,2,3,0,1,1,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.774590689596273,125.66486286603958,None,"[87. 93. 87. 87. 87. 87. 87. 87. 87. 93. 87. 93. 87. 93. 87. 93. 93. 87.
 93. 93. 93. 87. 87. 87. 93. 93. 87. 87. 87. 93. 87. 93. 93. 87.]",126.514145076756,None,l,1,0.9407282352558468,126.514145076756,None,None,None,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
5,8,0,1,1,2,2,2,3,0,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21_SU,23,F,21,2021_Nov_05_1142,Partial repeat,2021.2.3,120.10269052272326,
