prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,25.80803675086827,None,space,4.607909672333335,25.80803675086827,None,,,,,,,,,,,,,,,,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
8,1,0,1,1,2,2,3,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,75.65769628450471,None,0.8478667979086091,97.92893373990955,None,"[87. 93. 93. 93. 87. 93. 93. 87. 87. 87. 93. 87. 93. 87. 93. 93. 93. 87.
 93. 87. 87. 93. 87. 87. 93. 93. 93. 87. 93. 93. 93. 93. 93. 93.]",98.86145526921064,None,l,1,0.6229869186863652,98.86145526921064,None,None,None,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
8,1,0,1,1,2,2,3,3,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.8270909377562592,99.55251603873694,None,"[93. 87. 87. 87. 93. 93. 93. 87. 87. 87. 87. 93. 93. 87. 93. 93. 87. 87.
 93. 87. 87. 87. 87. 93. 93. 93. 93. 93. 93. 93. 93. 93. 87. 93.]",100.46839846110197,None,s,1,0.5842415513507149,100.46839846110197,None,None,None,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
8,1,0,1,1,2,2,3,3,1,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
3,1,0,1,1,2,3,2,2,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,,,,,,,101.07619474316925,None,0.7320552804649069,103.38253621784679,None,"[87. 93. 93. 87. 87. 93. 87. 93. 93. 87. 93. 93. 93. 93. 93. 87. 87. 93.
 93. 87. 87. 93. 87. 93. 87. 93. 87. 93. 87. 93. 93. 93. 93. 93.]",104.19850542449967,None,l,1,0.629029747660752,104.19850542449967,None,None,None,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
3,1,0,1,1,2,3,2,2,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.9068119478335596,104.89788093683455,None,"[93. 93. 93. 93. 87. 87. 87. 93. 93. 87. 87. 87. 87. 87. 93. 87. 93. 87.
 87. 93. 93. 87. 87. 93. 87. 87. 87. 93. 93. 87. 93. 93. 93. 93.]",105.8803755905883,None,l,1,0.5951120368681586,105.8803755905883,None,None,None,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
3,1,0,1,1,2,3,2,2,1,1,0,1,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
5,2,0,1,1,3,3,3,2,1,0,1,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,106.48819400168577,None,0.9384489417399735,108.22002382238315,None,"[87. 93. 93. 93. 87. 87. 87. 93. 87. 93. 87. 87. 93. 93. 93. 93. 87. 87.
 87. 87. 93. 93. 93. 93. 87. 87. 87. 87. 87. 87. 93. 93. 87. 87.]",109.2441377310879,None,l,1,0.5753835247978714,109.2441377310879,None,None,None,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
5,2,0,1,1,3,3,3,2,1,0,1,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.949323402102834,109.88524975016662,None,"[87. 93. 93. 87. 93. 93. 93. 93. 87. 87. 87. 87. 87. 93. 87. 93. 87. 93.
 87. 93. 87. 87. 93. 93. 93. 87. 93. 87. 93. 87. 93. 87. 87. 87.]",110.90937007308457,None,s,1,0.526180747188846,110.90937007308457,None,None,None,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
5,2,0,1,1,3,3,3,2,1,0,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,13_NF,24,F,13,2021_Nov_02_1555,Partial repeat,2021.2.3,120.10199561463384,
