prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,76.03946285590428,None,space,2.0725317448905116,76.03946285590428,None,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
6,5,0,1,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,125.1231476379744,None,0.7314505015422826,152.0411475648525,None,"[93. 93. 93. 93. 87. 93. 87. 87. 93. 87. 87. 87. 93. 93. 93. 87. 93. 87.
 93. 87. 93. 87. 87. 93. 93. 93. 87. 93. 87. 87. 87. 93. 87. 93.]",152.85711307658676,None,s,1,0.7711211819932942,152.85711307658676,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
6,5,0,1,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.8319096959733996,153.69804871384076,None,"[87. 87. 87. 87. 87. 93. 87. 87. 87. 93. 93. 87. 93. 87. 87. 87. 87. 93.
 93. 87. 87. 93. 93. 87. 87. 93. 93. 93. 87. 93. 93. 87. 87. 87.]",154.6139547011171,None,l,1,0.6613601329263474,154.6139547011171,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
6,5,0,1,1,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
4,3,0,1,1,3,3,2,3,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,155.2966842054284,None,0.9585907468877501,156.029389880714,None,"[93. 87. 93. 87. 93. 87. 87. 93. 93. 87. 87. 87. 93. 87. 87. 93. 87. 93.
 93. 93. 87. 87. 93. 93. 93. 87. 93. 87. 87. 87. 93. 93. 87. 93.]",157.07018305695237,None,s,1,0.6691210832141223,157.07018305695237,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
4,3,0,1,1,3,3,2,3,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.8138773338692569,157.8028726965531,None,"[93. 87. 87. 87. 93. 93. 93. 87. 87. 87. 93. 93. 87. 87. 93. 87. 87. 93.
 87. 87. 87. 87. 87. 93. 93. 87. 87. 93. 87. 87. 87. 93. 93. 93.]",158.70210830757424,None,l,1,0.6372386157963774,158.70210830757424,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
4,3,0,1,1,3,3,2,3,0,1,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
3,7,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,,159.35988789132716,None,0.9361333291258984,160.42564157167544,None,"[87. 93. 87. 87. 93. 93. 87. 87. 87. 87. 93. 93. 93. 87. 93. 93. 87. 93.
 93. 93. 93. 87. 87. 87. 87. 93. 87. 87. 93. 87. 87. 87. 87. 87.]",161.44976533380213,None,s,1,0.785620326649223,161.44976533380213,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
3,7,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.8728523057345925,162.30735883947818,None,"[93. 93. 93. 87. 93. 93. 93. 87. 93. 93. 87. 87. 87. 87. 93. 93. 87. 87.
 93. 87. 87. 87. 87. 87. 93. 87. 87. 87. 93. 87. 87. 93. 87. 93.]",163.25655234079204,None,l,1,0.6593627281417866,163.25655234079204,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
3,7,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
2,5,0,1,1,2,2,3,2,0,0,1,0,1,0,0,0,3,3,3,0,0,0,0,,,,,,,163.93931872717621,None,0.7101170999384685,164.62204374149587,None,"[87. 87. 93. 87. 93. 93. 93. 87. 87. 93. 87. 87. 93. 93. 87. 93. 93. 93.
 93. 93. 93. 87. 93. 93. 87. 93. 87. 87. 93. 93. 93. 93. 87. 87.]",165.41304361770017,None,s,1,0.6464107062656694,165.41304361770017,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
2,5,0,1,1,2,2,3,2,0,0,1,0,1,0,0,0,3,3,3,1,0,1,0,,,,,,,,,0.8984510124454099,166.12077179105108,None,"[93. 87. 93. 93. 87. 93. 93. 87. 87. 93. 87. 93. 87. 87. 93. 87. 87. 87.
 87. 87. 93. 93. 87. 87. 87. 93. 93. 87. 93. 87. 87. 93. 87. 87.]",167.10326338995583,None,s,1,0.6362113698851317,167.10326338995583,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
2,5,0,1,1,2,2,3,2,0,0,1,0,1,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
7,2,0,1,1,2,2,2,2,0,1,1,1,0,0,0,0,4,4,4,0,0,0,0,,,,,,,167.76102982444718,None,0.9318368025835119,168.20232222359664,None,"[93. 87. 87. 93. 87. 87. 87. 93. 93. 93. 87. 93. 87. 87. 93. 93. 87. 93.
 93. 87. 93. 87. 87. 93. 87. 87. 87. 93. 87. 87. 93. 93. 87. 87.]",169.21812122078882,None,s,1,0.5693698287414009,169.21812122078882,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
7,2,0,1,1,2,2,2,2,0,1,1,1,0,0,0,0,4,4,4,1,0,1,0,,,,,,,,,0.7506117822706507,169.8509184919003,None,"[93. 87. 87. 93. 87. 87. 93. 87. 87. 93. 87. 93. 87. 93. 87. 93. 87. 87.
 87. 93. 87. 93. 87. 93. 93. 87. 93. 87. 93. 87. 93. 93. 87. 87.]",170.68354090991488,None,l,1,0.7519761790008488,170.68354090991488,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
7,2,0,1,1,2,2,2,2,0,1,1,1,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
6,7,0,1,1,3,3,2,3,1,0,1,0,0,0,0,0,5,5,5,0,0,0,0,,,,,,,171.45787650342572,None,0.7396847079127769,172.05736477268147,None,"[93. 93. 93. 87. 93. 87. 93. 87. 93. 87. 87. 93. 93. 87. 93. 87. 87. 93.
 87. 93. 87. 93. 93. 87. 93. 87. 87. 93. 93. 87. 87. 93. 87. 87.]",172.881653125065,None,l,1,0.6809002551690355,172.881653125065,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
6,7,0,1,1,3,3,2,3,1,0,1,0,0,0,0,0,5,5,5,1,0,1,0,,,,,,,,,0.7369124398975815,173.62269446954815,None,"[93. 93. 93. 87. 93. 87. 87. 87. 87. 93. 87. 87. 87. 93. 93. 93. 93. 87.
 93. 93. 93. 87. 87. 93. 93. 87. 93. 87. 87. 87. 93. 87. 87. 93.]",174.43866479198732,None,s,1,0.6279289391586644,174.43866479198732,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
6,7,0,1,1,3,3,2,3,1,0,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
7,6,0,1,1,2,3,3,2,1,0,0,0,0,0,0,0,6,6,6,0,0,0,0,,,,,,,175.08811640367094,None,0.8999527625161325,175.62098185851028,None,"[87. 87. 87. 93. 87. 93. 93. 87. 87. 87. 87. 93. 93. 93. 93. 93. 87. 93.
 87. 93. 87. 93. 87. 93. 93. 93. 93. 87. 93. 87. 87. 87. 93. 93.]",176.59515767246558,None,l,1,0.7758145059542585,176.59515767246558,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
7,6,0,1,1,2,3,3,2,1,0,0,0,0,0,0,0,6,6,6,1,0,1,0,,,,,,,,,0.8039918664266459,177.44442897891713,None,"[87. 93. 87. 87. 93. 93. 93. 93. 87. 93. 87. 93. 87. 93. 87. 87. 93. 93.
 93. 93. 87. 87. 87. 87. 93. 87. 93. 93. 87. 93. 87. 87. 87. 87.]",178.33533020359573,None,s,1,0.8113146236555622,178.33533020359573,None,None,None,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
7,6,0,1,1,2,3,3,2,1,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,09_BC,28,F,9,2021_Oct_30_1521,Partial repeat,2021.2.3,120.09945228074372,
