prime_tar_pos,probe_tar_pos,dimension,tar_color,tar_shape,prime_dist_color,probe_dist_color,prime_dist_shape,probe_dist_shape,prime_tar_ori,probe_tar_ori,col_rep,shape_rep,resp_rep,pos_fixed,sparse,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,PrimeProbe.thisRepN,PrimeProbe.thisTrialN,PrimeProbe.thisN,PrimeProbe.thisIndex,Instruction.started,Instruction.stopped,instruction_key.keys,instruction_key.rt,instruction_key.started,instruction_key.stopped,PairStartText.started,PairStartText.stopped,fixdur,FixCross.started,FixCross.stopped,dist_ori,SearchFixCross.started,SearchFixCross.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,feedback_text.started,feedback_text.stopped,text_finish.started,text_finish.stopped,finish_key.keys,finish_key.rt,finish_key.started,finish_key.stopped,participant,age,gender,group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,67.06171954576803,None,space,17.56612750538443,67.06171954576803,None,,,,,,,,,,,,,,,,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
1,6,0,1,1,3,3,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,126.81136291330222,None,0.9126891089746351,131.78946882288164,None,"[93. 93. 93. 87. 87. 93. 93. 87. 87. 93. 87. 87. 93. 87. 87. 87. 87. 87.
 87. 87. 87. 87. 93. 93. 93. 93. 87. 87. 93. 93. 93. 87. 87. 87.]",132.78860514371718,None,s,1,2.299950438648011,132.78860514371718,None,None,None,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
1,6,0,1,1,3,3,2,3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,0.8936522204018408,135.16989175306662,None,"[87. 87. 87. 93. 87. 93. 93. 87. 87. 93. 93. 87. 93. 87. 87. 93. 87. 93.
 87. 93. 93. 87. 93. 87. 87. 93. 87. 93. 93. 87. 87. 87. 87. 93.]",136.15237571101989,None,s,1,1.320182275408115,136.15237571101989,None,None,None,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
1,6,0,1,1,3,3,2,3,0,0,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
4,1,0,1,1,2,3,3,3,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,,,,,,,137.49290294978618,None,0.7396388034297775,138.7335182562465,None,"[87. 87. 87. 93. 93. 93. 87. 87. 87. 93. 87. 93. 93. 93. 93. 87. 93. 93.
 87. 87. 93. 87. 87. 93. 93. 87. 93. 87. 87. 87. 93. 87. 93. 93.]",139.55779530579275,None,l,1,1.0188057125751584,139.55779530579275,None,None,None,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
4,1,0,1,1,2,3,3,3,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,,,,,,,,,0.784115593270073,140.64851721713785,None,"[93. 93. 87. 93. 93. 87. 93. 87. 93. 93. 93. 93. 87. 93. 93. 87. 93. 87.
 93. 93. 87. 93. 93. 87. 87. 87. 93. 87. 93. 93. 93. 87. 87. 93.]",141.51445227410932,None,s,1,1.4141870014291271,141.51445227410932,None,None,None,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
4,1,0,1,1,2,3,3,3,1,0,0,1,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
4,4,0,1,1,3,3,2,2,1,0,1,1,0,0,0,0,2,2,2,0,0,0,0,,,,,,,142.94655580271774,None,0.9497214851534537,143.74586088255,None,"[87. 87. 93. 87. 93. 93. 93. 93. 93. 93. 93. 93. 93. 93. 87. 93. 87. 87.
 87. 93. 93. 93. 93. 87. 93. 87. 87. 93. 93. 87. 93. 93. 87. 87.]",144.77832053048405,None,l,1,0.9991024102610027,144.77832053048405,None,None,None,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
4,4,0,1,1,3,3,2,2,1,0,1,1,0,0,0,0,2,2,2,1,0,1,0,,,,,,,,,0.897168064689293,145.83574028176554,None,"[93. 87. 87. 93. 87. 87. 93. 93. 93. 87. 87. 93. 87. 87. 87. 87. 93. 87.
 87. 93. 93. 87. 93. 93. 93. 87. 87. 93. 93. 93. 93. 87. 87. 87.]",146.8182277675578,None,s,1,0.9575014896881839,146.8182277675578,None,None,None,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
4,4,0,1,1,3,3,2,2,1,0,1,1,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
4,6,0,1,1,2,2,3,2,0,1,1,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,,147.7923757623339,None,0.8762692911394495,150.65659725162095,None,"[93. 93. 87. 93. 93. 87. 87. 87. 87. 93. 93. 93. 87. 87. 87. 93. 87. 93.
 87. 87. 93. 93. 93. 87. 93. 87. 87. 87. 93. 93. 87. 93. 87. 93.]",151.61411469197446,None,s,1,1.0576452972391053,151.61411469197446,None,None,None,,,,,,,01_BY,26,M,1,2021_Oct_27_1751,Partial repeat,2021.2.3,120.10215047540554,
